"FOR /30/G.GEL IN
ALU.TUBE",0.1,جل,ابن الهيثم,ACNECID -10 % GEL
"FOR /30/G.GEL IN
ALU.TUBE",0.025,جل,ابن الهيثم,ACNECID-2.5 % GEL
"FOR /30/G.GEL IN
ALU.TUBE",0.05,جل,ابن الهيثم,ACNECID-5 % GEL
"FOR /100/ML.SOLUTION IN
GLASS BOTTLE",0.05,محلول,ابن الهيثم,ACNECID-5 % LOTION
"FOR /30/G.GEL IN
ALU.TUBE",0.05 %+2 %,جل,ابن الهيثم,ACNETRIX GEL
FOR /14/TAB.ALU.ALU.,30 MG+2 MG/TAB.,أقراص,ابن الهيثم,ACTAGLIM-30/2 TAB.
FOR /28/TAB.ALU.ALU.,30 MG+2 MG/TAB.,أقراص,ابن الهيثم,ACTAGLIM-30/2 TAB.
FOR /14/TAB.ALU.ALU.,30 MG+4 MG/TAB.,أقراص,ابن الهيثم,ACTAGLIM-30/4 TAB.
FOR /28/TAB.ALU.ALU.,30 MG+4 MG/TAB.,أقراص,ابن الهيثم,ACTAGLIM-30/4 TAB.
FOR /14/TAB.ALU.ALU.,45 MG+4 MG/TAB.,أقراص,ابن الهيثم,ACTAGLIM-45/4 TAB.
FOR /28/TAB.ALU.ALU.,45 MG+4 MG/TAB.,أقراص,ابن الهيثم,ACTAGLIM-45/4 TAB.
"FOR /100/ML.SYRUP IN
GLASS BOTTLE",30 MG/5 ML.,شراب,ابن الهيثم,AMBROXOL SYRUP
FOR /10/SUPP.STRIPS,15 MG/SUPP.,تحاميل,ابن الهيثم,AMBROXOL-15 SUPP.
FOR /10/SUPP.STRIPS,30 MG/SUPP.,تحاميل,ابن الهيثم,AMBROXOL-30 SUPP.
FOR /10/CAP.BLISTER,75 MG/S.R.CAP.,محافظ,ابن الهيثم,AMBROXOL-75 S.R.CAP.
"FOR /30/CTD TAB.BLISTER
P.V.D.C.",1000 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,ANTI-ANGINA 1000 E.R.CTD TAB.
"FOR /60/CTD TAB.IN
PLASTIC CONTAINER",1000 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,ANTI-ANGINA 1000 E.R.CTD TAB.
"FOR /30/CTD TAB.BLISTER
P.V.D.C.",375 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,ANTI-ANGINA 375 E.R.CTD TAB.
"FOR /60/CTD TAB.IN
PLASTIC CONTAINER",375 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,ANTI-ANGINA 375 E.R.CTD TAB.
"FOR /30/CTD TAB.BLISTER
P.V.D.C.",500 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,ANTI-ANGINA 500 E.R.CTD TAB.
"FOR /60/CTD TAB.IN
PLASTIC CONTAINER",500 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,ANTI-ANGINA 500 E.R.CTD TAB.
"FOR /30/CTD TAB.BLISTER
P.V.D.C.",750 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,ANTI-ANGINA 750 E.R.CTD TAB.
"FOR /60/CTD TAB.IN
PLASTIC CONTAINER",750 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,ANTI-ANGINA 750 E.R.CTD TAB.
FOR /20/CTD TAB.BLISTER,10 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,ANXITIN-10 CTD TAB.
FOR /20/CTD TAB.BLISTER,20 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,ANXITIN-20 CTD TAB.
FOR /20/CTD TAB.BLISTER,5 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,ANXITIN-5 CTD TAB.
FOR /1/CAP.ALU.ALU.,125 MG/CAP.,محافظ,ابن الهيثم,APREVOMIT-125 CAP.
FOR /2/CAP.ALU.ALU.,125 MG/CAP.,محافظ,ابن الهيثم,APREVOMIT-125 CAP.
FOR /6/CAP.ALU.ALU.,125 MG/CAP.,محافظ,ابن الهيثم,APREVOMIT-125 CAP.
FOR /1/CAP.ALU.ALU.,40 MG/CAP.,محافظ,ابن الهيثم,APREVOMIT-40 CAP.
FOR /5/CAP.ALU.ALU.,40 MG/CAP.,محافظ,ابن الهيثم,APREVOMIT-40 CAP.
FOR /2/CAP.ALU.ALU.,80 MG/CAP.,محافظ,ابن الهيثم,APREVOMIT-80 CAP.
FOR /4/CAP.ALU.ALU.,80 MG/CAP.,محافظ,ابن الهيثم,APREVOMIT-80 CAP.
FOR /6/CAP.ALU.ALU.,80 MG/CAP.,محافظ,ابن الهيثم,APREVOMIT-80 CAP.
"FOR /50/G.GEL IN
ALU.TUBE",0.05,جل,ابن الهيثم,ARTROFEN GEL
"FOR /125/ML.SOLU.IN
GLASS BOTTLE",1.6 % ( 80/5ML),غسول فموي,ابن الهيثم,ARTROFEN ORAL SOLUTION
FOR /10/SUPP.STRIPS,160 MG/SUPP.,تحاميل,ابن الهيثم,ARTROFEN-160 SUPP.
FOR /20/CAP.BLISTER,320 MG/CAP.,محافظ,ابن الهيثم,ARTROFEN-320 D.R.CAP.
FOR /20/CTD TAB.BLISTER,10 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,"ATORVASTATIN IBN AL-
HAYTHAM-10 F.CTD TAB."
FOR /30/CTD TAB.BLISTER,10 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,"ATORVASTATIN IBN AL-
HAYTHAM-10 F.CTD TAB."
FOR /30/CTD TAB.BLISTER,20 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,"ATORVASTATIN IBN AL-
HAYTHAM-20 CTD TAB."
FOR /10/CTD TAB.BLISTER,20 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,"ATORVASTATIN IBN AL-
HAYTHAM-20 CTD TAB."
FOR /30/CTD TAB.BLISTER,40 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,"ATORVASTATIN IBN AL-
HAYTHAM-40 CTD TAB."
FOR /10/CTD TAB.BLISTER,40 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,"ATORVASTATIN IBN AL-
HAYTHAM-40 CTD TAB."
FOR /30/CTD TAB.BLISTER,80 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,"ATORVASTATIN IBN AL-
HAYTHAM-80 CTD TAB."
FOR /10/CTD TAB.BLISTER,80 MG/CTD TAB.,أقراص ملبسة,ابن الهيثم,"ATORVASTATIN IBN AL-
HAYTHAM-80 CTD TAB."
"FOR /23/G.NASAL SPRAY
IN GLASS BOTLLE","137 MCG+50
MCG/DOSE",بخاخ أنفي,ابن الهيثم,AZAFLUTIC NASAL SPRAY
