1,Voltamed 1% _ 50gr emulgel,1%,50gr emulgel,,53,diclofenac diethylammonium 1.16%,الأدوية العينية,"تثبيط تقبض الحدقة أثناء جراحة الساد [قطرة 4 مرات خلال الساعتين التي تسبق الجراحة]، الإلتهابات العينية، الالتهابات التالية لجراحة الساد [قطرة 4 مرات/يوم تبدأ بعد 24 ساعة من الجراحة مدة 10 ـ 14 يوم]","الإرضاع، المرضى المؤهبين للنزف، العدسات اللاصقة، الأطفال","مضادات الالتهاب غير الستيروئيدية، مضادات الاحتقان، المستحضرات العينية للأستيل كولين كلورايد، الكارباكول","حرقة، تشوش الرؤية، وخز"
2,Kenos _ 20 sach / 1gr,,20 sach / 1gr,,65,citric acid 432mg+bicarbonate sodium 458mg / sachet,الأدوية الهضمية,سوء الهضم [معلقة صغيرة ثلاث مرات / يوم] بعد حله بالماء,قياء,الاستعمال بكميات كبيرة,
3,Kenos _ 200gr effer-powdr,,200gr effer-powdr,,65,citric acid 432mg+bicarbonate sodium 458mg / gr powder,الأدوية الهضمية,سوء الهضم [معلقة صغيرة ثلاث مرات / يوم] بعد حله بالماء,قياء,الاستعمال بكميات كبيرة,
4,Kenos _ 100gr effer-powdr,,100gr effer-powdr,,65,citric acid 432mg+bicarbonate sodium 458mg / gr powder,الأدوية الهضمية,سوء الهضم [معلقة صغيرة ثلاث مرات / يوم] بعد حله بالماء,قياء,الاستعمال بكميات كبيرة,
5,Mexana _ 100gr powder,,100gr powder,,65,camphor 2%+eucalyptus 0.1%+kaolin 10%+triclosan 1%+Zinc oxid 10%,,,,,
6,DecostaminePlus _ 20,,20,0,3,chlorpheniramine 3mg+paracetamol 400mg+phenylpropanolamin 24mg / t,أدوية جهاز التنفس,"إزالة الاحتقان والتحسس وفرط المفرزات في مخاطيات الطرق التنفسية العليا (الأنف، الجيوب، نفير أوستاش)، التهاب الأنف التحسسي، التهاب الأذن الوسطى المصلي، حمى العلف، الرشح والزكام [مضغوطة مرتين /يوم]","صدمة تحسسية، فرط ضغط الدم، تسرع القلب، احتباس البول، تشوش الرؤية، قشعريرة، جفاف الفم، غثيان، أرق، دوار","الكحول، عدم قيادة الآليات، ضخامة الموثة، الربو القصبي، القصور الكلوي، القصور الكبدي، اضطرابات المعدة","مثبطات الجملة العصبية المركزية، خافضات ضغط الدم، خافضات سكر الدم، مضادات النقرس، مضادات الالتهاب غير الستيروئيدية، مضادات التخثر، مضادات الاكتئاب ثلاثية الحلقة، المنشطات التنفسية، حاصرات مستقبلات بيتا، حاصرات مستقبلات ألفا، الأدوية ذات الخواص الودية(مضاد"
7,SytamolExtra _ 20,,20,0,3,caffeine 50mg+paracetamol 500mg / tab,مضادات الألم,"تسكين الألم وتخفيض الحرارة لاسيما عند المرضى المتحسسين للأسبرين أو لديهم استعداد للنزف [الرضع دون 3 أشهر 10 ملغ/كغ /يوم، 3 أشهر – سنة 60-120 ملغ أو نصف ملعقة صغيرة 3-4 مرات /يوم، 1-5 سنوات 120-250 ملغ أو ملعقة صغيرة 3-4 مرات /يوم، 6-12 سنة 250 ملغ أو ملعق","طفح، اندفاعات تحسسية، نقص صفيحات الدم، نقص الكريات البيض","القصور الكلوي، القصور الكبدي، الذين لديهم استعداد للنزف (قرحة، التهاب معدة)","مضادات التخثر، الدومبيريدون، الميتوكلوبراميد، الكولسترامين"
8,Bacampicillin 400 _ 20,400,20,0,3,bacampicillin 400mg,,,,,
9,Cifuroxime 125 _ 1000,125,1000,0,3,cifuroxime 125mg,,,,,
10,Ascaltin 500 _ 50,500,50,0,3,aspirin 500mg ( microfine crystal ),مضادات الألم,"تسكين الألم وتخفيض الحرارة [1-2 مضغوطة كل 4-6 ساعات]، مضاد تكدس صفيحات الدم [0.5-1 مضغوطة /يوم]","حكة، غثيان، إسهال، إطالة زمن النزف","الحمل، الأطفال دون 12 سنة، الربو القصبي، القصور الكبدي، القصور الكلوي، الكحول، أورام الغشاء المخاطي للأنف، المعرضين لعسر الهضم","مضادات التخثر، خافضات سكر الدم الفموية، الميتوتريكسات"
